time_of_day,district,total_request,dispatched_request,total_GMV,avg_trip_factor,driver_cancel_before_accept,driver_cancel_after_accept,driver_ask_rider_cancel,cancel_rate
Afternoon Peak,Thủ Đức,975,785,17105221,1.121428571,8,79,0,0.08923076923
Afternoon Peak,Hóc Môn,95,75,2895317,,0,2,0,0.02105263158
Afternoon Peak,Quận 10,2203,2086,39883302,1.269160998,11,230,2,0.1103041307
Afternoon Peak,Quận 11,437,411,7734558,1.173913043,0,42,1,0.09839816934
Afternoon Peak,Quận 7,1626,1477,30500939,1.18252149,29,156,1,0.1143911439
Afternoon Peak,Quận 9,616,452,10924968,1.163888889,1,61,0,0.1006493506
Afternoon Peak,Tân Bình,1882,1772,33951943,1.221079692,16,176,3,0.1036131775
Afternoon Peak,Tan Phu,982,936,18541950,1.2,2,71,1,0.07535641548
Afternoon Peak,Quận 1,2419,2296,44031718,1.224875622,9,173,7,0.07813145928
Afternoon Peak,Củ Chi,6,1,,,0,0,0,0
Afternoon Peak,Nhà Bè,280,205,4627352,1.13125,6,19,0,0.08928571429
Afternoon Peak,Gò Vấp,1386,1269,26765008,1.178997613,24,109,0,0.09595959596
Afternoon Peak,Binh Tan,655,581,13998999,1.165,1,62,0,0.09618320611
Afternoon Peak,Quận 6,390,374,6982834,1.151724138,1,44,1,0.1179487179
Afternoon Peak,Quận 2,769,679,16034773,1.179381443,5,37,0,0.05461638492
Afternoon Peak,Quận 4,725,675,11808280,1.16092437,3,41,1,0.06206896552
Afternoon Peak,Quận 12,525,411,10871675,1.14,3,35,0,0.07238095238
Afternoon Peak,Quận 8,756,657,12769363,1.171764706,0,56,0,0.07407407407
Afternoon Peak,Quận 3,1545,1464,25712222,1.217125,6,131,2,0.08996763754
Afternoon Peak,Phú Nhuận,838,798,15597181,1.206637168,5,67,0,0.08591885442
Afternoon Peak,Quận 5,1178,1116,21711333,1.189893617,4,90,1,0.08064516129
Afternoon Peak,Bình Thạnh,3148,2916,57710998,1.252615193,30,316,3,0.1108640407
Afternoon Peak,Cần Giờ,2,0,,,0,0,0,0
Afternoon Peak,Bình Chánh,410,303,7032225,1.188461538,1,16,0,0.04146341463
Afternoon Peak,Phú Nhuận,726,689,13843141,1.228808864,7,41,0,0.06611570248
Afternoon Peak,Quận 7,1365,1247,28321852,1.210542169,10,117,0,0.09304029304
Afternoon Peak,Quận 6,292,278,5639217,1.168,2,24,1,0.09246575342
Afternoon Peak,Nhà Bè,236,165,3779433,1.190322581,0,20,1,0.08898305085
Afternoon Peak,Quận 2,665,613,14727030,1.151612903,0,45,2,0.07067669173
Afternoon Peak,Tan Phu,725,684,13816762,1.158823529,2,68,2,0.09931034483
Afternoon Peak,Củ Chi,18,2,144119,,0,0,0,0
Afternoon Peak,Quận 10,1494,1409,25247015,1.205833333,9,87,1,0.06492637216
Afternoon Peak,Quận 4,621,581,10162229,1.18172043,0,44,2,0.07407407407
Afternoon Peak,Thủ Đức,753,607,15105700,1.190909091,2,44,0,0.06108897742
Afternoon Peak,Bình Chánh,322,210,4750206,1.203333333,0,18,0,0.05590062112
Afternoon Peak,Tân Bình,1348,1257,25848275,1.197399527,16,114,0,0.09643916914
Afternoon Peak,Bình Thạnh,2254,2128,42055798,1.202699229,6,163,1,0.07542147294
Afternoon Peak,Quận 12,455,322,8453494,1.15,1,28,0,0.06373626374
Afternoon Peak,Quận 9,538,390,10907473,1.152631579,0,38,0,0.07063197026
Afternoon Peak,Binh Tan,699,579,12855824,1.156,2,82,0,0.1201716738
